����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),�n�l(ASK),���l(ASK),���l(ASK),�I�l(ASK)
2017/01/03 07:00:00,84.363,84.384,84.347,84.347,84.533,84.535,84.477,84.477
2017/01/03 07:01:00,84.347,84.385,84.347,84.365,84.477,84.515,84.477,84.495
2017/01/03 07:02:00,84.365,84.379,84.352,84.378,84.495,84.509,84.482,84.508
2017/01/03 07:03:00,84.378,84.38,84.36,84.363,84.508,84.51,84.49,84.493
2017/01/03 07:04:00,84.363,84.375,84.36,84.367,84.493,84.505,84.49,84.497
2017/01/03 07:05:00,84.367,84.372,84.364,84.365,84.497,84.501,84.489,84.495
2017/01/03 07:06:00,84.365,84.403,84.363,84.399,84.495,84.495,84.466,84.487
2017/01/03 07:07:00,84.399,84.401,84.357,84.365,84.487,84.487,84.46,84.467
2017/01/03 07:08:00,84.365,84.383,84.364,84.382,84.467,84.471,84.454,84.471
2017/01/03 07:09:00,84.382,84.382,84.363,84.37,84.471,84.476,84.459,84.459
2017/01/03 07:10:00,84.37,84.383,84.359,84.383,84.459,84.489,84.455,84.486
2017/01/03 07:11:00,84.383,84.395,84.375,84.376,84.486,84.492,84.466,84.491
2017/01/03 07:12:00,84.376,84.39,84.374,84.381,84.491,84.491,84.478,84.478
2017/01/03 07:13:00,84.381,84.387,84.366,84.366,84.478,84.501,84.47,84.48
2017/01/03 07:14:00,84.366,84.374,84.354,84.371,84.48,84.49,84.459,84.47
2017/01/03 07:15:00,84.371,84.372,84.365,84.372,84.47,84.471,84.464,84.471
2017/01/03 07:16:00,84.372,84.373,84.355,84.366,84.471,84.483,84.443,84.483
2017/01/03 07:17:00,84.366,84.385,84.36,84.382,84.483,84.484,84.459,84.462
2017/01/03 07:18:00,84.382,84.393,84.366,84.374,84.462,84.472,84.454,84.46
2017/01/03 07:19:00,84.374,84.378,84.366,84.378,84.46,84.466,84.455,84.461
2017/01/03 07:20:00,84.378,84.383,84.368,84.382,84.461,84.471,84.458,84.458
2017/01/03 07:21:00,84.382,84.384,84.381,84.381,84.458,84.458,84.456,84.457
2017/01/03 07:22:00,84.381,84.405,84.376,84.391,84.457,84.498,84.455,84.477
2017/01/03 07:23:00,84.391,84.399,84.377,84.394,84.477,84.486,84.465,84.471
2017/01/03 07:24:00,84.394,84.394,84.373,84.385,84.471,84.484,84.463,84.469
2017/01/03 07:25:00,84.385,84.404,84.374,84.399,84.469,84.483,84.457,84.465
2017/01/03 07:26:00,84.399,84.399,84.36,84.372,84.465,84.465,84.438,84.441
2017/01/03 07:27:00,84.372,84.389,84.352,84.364,84.441,84.485,84.441,84.466
2017/01/03 07:28:00,84.364,84.418,84.362,84.409,84.466,84.503,84.46,84.503
2017/01/03 07:29:00,84.409,84.43,84.324,84.324,84.503,84.503,84.407,84.407
2017/01/03 07:30:00,84.324,84.374,84.305,84.326,84.407,84.448,84.407,84.434
2017/01/03 07:31:00,84.326,84.344,84.312,84.327,84.434,84.457,84.413,84.432
2017/01/03 07:32:00,84.327,84.347,84.319,84.335,84.432,84.447,84.42,84.442
2017/01/03 07:33:00,84.335,84.373,84.32,84.368,84.442,84.452,84.431,84.45
2017/01/03 07:34:00,84.368,84.376,84.312,84.345,84.45,84.455,84.417,84.442
2017/01/03 07:35:00,84.345,84.355,84.331,84.338,84.442,84.454,84.438,84.448
2017/01/03 07:36:00,84.338,84.339,84.31,84.328,84.448,84.448,84.426,84.435
2017/01/03 07:37:00,84.328,84.33,84.315,84.315,84.435,84.437,84.426,84.432
2017/01/03 07:38:00,84.315,84.37,84.315,84.367,84.432,84.432,84.39,84.424
2017/01/03 07:39:00,84.367,84.377,84.338,84.352,84.424,84.436,84.383,84.406
2017/01/03 07:40:00,84.352,84.405,84.352,84.395,84.406,84.451,84.381,84.402
2017/01/03 07:41:00,84.395,84.396,84.341,84.345,84.402,84.473,84.402,84.466
2017/01/03 07:42:00,84.345,84.365,84.338,84.347,84.466,84.479,84.449,84.475
2017/01/03 07:43:00,84.347,84.381,84.347,84.366,84.475,84.489,84.472,84.487
2017/01/03 07:44:00,84.366,84.395,84.366,84.382,84.487,84.502,84.478,84.487
2017/01/03 07:45:00,84.382,84.382,84.351,84.361,84.487,84.492,84.435,84.453
2017/01/03 07:46:00,84.361,84.37,84.357,84.365,84.453,84.461,84.442,84.46
2017/01/03 07:47:00,84.365,84.368,84.363,84.367,84.46,84.46,84.455,84.46
2017/01/03 07:48:00,84.367,84.394,84.363,84.394,84.46,84.488,84.455,84.488
2017/01/03 07:49:00,84.394,84.437,84.393,84.408,84.488,84.523,84.488,84.503
2017/01/03 07:50:00,84.408,84.419,84.402,84.408,84.503,84.508,84.489,84.502
2017/01/03 07:51:00,84.408,84.412,84.332,84.37,84.502,84.507,84.427,84.465
2017/01/03 07:52:00,84.37,84.432,84.348,84.432,84.465,84.527,84.442,84.527
2017/01/03 07:53:00,84.432,84.433,84.393,84.393,84.527,84.528,84.488,84.488
2017/01/03 07:54:00,84.393,84.452,84.392,84.432,84.488,84.53,84.487,84.527
