日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/23 07:00:00,86.285,86.387,86.283,86.364,86.415,86.517,86.413,86.494
2017/01/23 07:01:00,86.364,86.381,86.359,86.379,86.494,86.511,86.489,86.509
2017/01/23 07:02:00,86.379,86.426,86.378,86.422,86.509,86.555,86.508,86.552
2017/01/23 07:03:00,86.422,86.43,86.417,86.42,86.552,86.56,86.537,86.545
2017/01/23 07:04:00,86.42,86.46,86.42,86.457,86.545,86.552,86.526,86.538
2017/01/23 07:05:00,86.457,86.465,86.422,86.455,86.538,86.549,86.506,86.522
2017/01/23 07:06:00,86.455,86.455,86.378,86.446,86.522,86.537,86.504,86.519
2017/01/23 07:07:00,86.446,86.454,86.396,86.396,86.519,86.521,86.46,86.463
2017/01/23 07:08:00,86.396,86.407,86.379,86.393,86.463,86.499,86.456,86.465
2017/01/23 07:09:00,86.393,86.395,86.374,86.387,86.465,86.475,86.459,86.466
2017/01/23 07:10:00,86.387,86.42,86.387,86.414,86.466,86.489,86.46,86.484
2017/01/23 07:11:00,86.414,86.453,86.412,86.45,86.484,86.493,86.456,86.457
2017/01/23 07:12:00,86.45,86.485,86.45,86.484,86.457,86.492,86.457,86.491
2017/01/23 07:13:00,86.484,86.488,86.477,86.484,86.491,86.495,86.484,86.491
2017/01/23 07:14:00,86.484,86.499,86.48,86.491,86.491,86.506,86.487,86.498
2017/01/23 07:15:00,86.491,86.496,86.485,86.488,86.498,86.503,86.492,86.495
2017/01/23 07:16:00,86.488,86.488,86.48,86.488,86.495,86.495,86.487,86.495
2017/01/23 07:17:00,86.488,86.495,86.47,86.472,86.495,86.502,86.477,86.479
2017/01/23 07:18:00,86.472,86.492,86.467,86.492,86.479,86.499,86.474,86.499
2017/01/23 07:19:00,86.492,86.506,86.436,86.456,86.499,86.513,86.461,86.481
2017/01/23 07:20:00,86.456,86.485,86.456,86.472,86.481,86.51,86.481,86.497
2017/01/23 07:21:00,86.472,86.472,86.446,86.455,86.497,86.497,86.471,86.48
2017/01/23 07:22:00,86.455,86.467,86.437,86.44,86.48,86.492,86.462,86.465
2017/01/23 07:23:00,86.44,86.445,86.404,86.439,86.465,86.471,86.43,86.464
2017/01/23 07:24:00,86.439,86.44,86.4,86.412,86.464,86.465,86.426,86.438
2017/01/23 07:25:00,86.412,86.417,86.405,86.407,86.438,86.443,86.43,86.432
2017/01/23 07:26:00,86.407,86.411,86.402,86.41,86.432,86.436,86.427,86.436
2017/01/23 07:27:00,86.41,86.43,86.397,86.43,86.436,86.455,86.422,86.455
