日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/26 07:00:00,.75684,.75711,.75682,.75709,.75744,.75776,.75742,.75775
2017/01/26 07:01:00,.75709,.7571,.75522,.75678,.75775,.75775,.75632,.75738
2017/01/26 07:02:00,.75678,.75691,.75666,.75691,.75738,.75759,.75711,.75751
2017/01/26 07:03:00,.75691,.75704,.75691,.75702,.75751,.75758,.75738,.75738
2017/01/26 07:04:00,.75702,.75711,.75665,.75667,.75738,.75755,.75725,.75727
2017/01/26 07:05:00,.75667,.75695,.75665,.75677,.75727,.75753,.75717,.75737
2017/01/26 07:06:00,.75677,.75689,.75672,.75673,.75737,.75739,.75721,.75733
2017/01/26 07:07:00,.75673,.75685,.75671,.75684,.75733,.75733,.75718,.7572
2017/01/26 07:08:00,.75684,.75686,.75682,.75686,.7572,.75722,.75718,.75722
2017/01/26 07:09:00,.75686,.75689,.75685,.75686,.75722,.75725,.75721,.75722
2017/01/26 07:10:00,.75686,.75698,.75683,.75698,.75722,.75722,.75707,.75709
2017/01/26 07:11:00,.75698,.75699,.75698,.75699,.75709,.7571,.75709,.7571
2017/01/26 07:12:00,.75699,.75701,.75698,.757,.7571,.75712,.75709,.75711
2017/01/26 07:13:00,.757,.75701,.757,.757,.75711,.75712,.75711,.75711
2017/01/26 07:14:00,.757,.75717,.75693,.75695,.75711,.75744,.75711,.75744
2017/01/26 07:15:00,.75695,.75714,.75688,.7571,.75744,.75745,.75718,.75721
2017/01/26 07:16:00,.7571,.7571,.75698,.75698,.75721,.75721,.75709,.75709
2017/01/26 07:17:00,.75698,.75702,.75697,.75702,.75709,.75713,.75708,.75713
2017/01/26 07:18:00,.75702,.75702,.75701,.75701,.75713,.75713,.75712,.75712
2017/01/26 07:19:00,.75701,.75707,.75692,.75702,.75712,.75718,.75703,.75713
2017/01/26 07:20:00,.75702,.75702,.75702,.75702,.75713,.75713,.75713,.75713
2017/01/26 07:21:00,.75702,.75705,.75702,.75704,.75713,.75716,.75713,.75715
2017/01/26 07:22:00,.75704,.75706,.75703,.75704,.75715,.75717,.75714,.75715
2017/01/26 07:23:00,.75704,.75707,.75703,.75706,.75715,.75718,.75714,.75717
2017/01/26 07:24:00,.75706,.75706,.75704,.75706,.75717,.75717,.75715,.75717
2017/01/26 07:25:00,.75706,.75724,.75706,.75723,.75717,.75735,.75717,.75734
2017/01/26 07:26:00,.75723,.75737,.75709,.7572,.75734,.75767,.75722,.75766
2017/01/26 07:27:00,.7572,.75732,.75711,.75724,.75766,.7579,.75762,.7579
2017/01/26 07:28:00,.75724,.75753,.75724,.75743,.7579,.7579,.75764,.7579
2017/01/26 07:29:00,.75743,.75743,.75681,.75706,.7579,.7579,.75718,.75769
2017/01/26 07:30:00,.75706,.75747,.75704,.75739,.75769,.75769,.75744,.7575
2017/01/26 07:31:00,.75739,.75743,.75733,.75742,.7575,.75754,.75744,.75753
2017/01/26 07:32:00,.75742,.75772,.75742,.7576,.75753,.75795,.75753,.75771
2017/01/26 07:33:00,.7576,.75792,.75756,.75779,.75771,.75803,.75767,.7579
