日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/25 07:00:00,86.438,86.452,86.415,86.428,86.528,86.542,86.505,86.518
2017/01/25 07:01:00,86.428,86.453,86.398,86.414,86.518,86.518,86.488,86.504
2017/01/25 07:02:00,86.414,86.439,86.411,86.437,86.504,86.509,86.472,86.477
2017/01/25 07:03:00,86.437,86.452,86.42,86.427,86.477,86.518,86.474,86.517
2017/01/25 07:04:00,86.427,86.452,86.424,86.452,86.517,86.517,86.478,86.492
2017/01/25 07:05:00,86.452,86.475,86.452,86.472,86.492,86.515,86.492,86.512
2017/01/25 07:06:00,86.472,86.476,86.471,86.476,86.512,86.516,86.511,86.516
2017/01/25 07:07:00,86.476,86.476,86.415,86.423,86.516,86.517,86.479,86.513
2017/01/25 07:08:00,86.423,86.442,86.412,86.412,86.513,86.513,86.479,86.502
2017/01/25 07:09:00,86.412,86.437,86.399,86.436,86.502,86.503,86.462,86.476
2017/01/25 07:10:00,86.436,86.466,86.436,86.46,86.476,86.483,86.464,86.477
2017/01/25 07:11:00,86.46,86.462,86.455,86.462,86.477,86.479,86.472,86.479
2017/01/25 07:12:00,86.462,86.466,86.461,86.466,86.479,86.483,86.478,86.483
2017/01/25 07:13:00,86.466,86.497,86.465,86.488,86.483,86.515,86.482,86.505
2017/01/25 07:14:00,86.488,86.488,86.464,86.486,86.505,86.505,86.481,86.503
2017/01/25 07:15:00,86.486,86.504,86.484,86.497,86.503,86.521,86.501,86.514
2017/01/25 07:16:00,86.497,86.508,86.478,86.494,86.514,86.525,86.506,86.511
2017/01/25 07:17:00,86.494,86.5,86.492,86.498,86.511,86.517,86.509,86.515
2017/01/25 07:18:00,86.498,86.502,86.488,86.488,86.515,86.519,86.505,86.505
2017/01/25 07:19:00,86.488,86.493,86.482,86.482,86.505,86.51,86.499,86.499
2017/01/25 07:20:00,86.482,86.487,86.482,86.486,86.499,86.504,86.499,86.503
2017/01/25 07:21:00,86.486,86.49,86.486,86.488,86.503,86.507,86.503,86.505
