日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/20 07:00:00,122.456,122.492,122.456,122.463,122.566,122.572,122.51,122.512
2017/01/20 07:01:00,122.463,122.464,122.445,122.453,122.512,122.541,122.499,122.541
2017/01/20 07:02:00,122.453,122.478,122.451,122.469,122.541,122.557,122.54,122.552
2017/01/20 07:03:00,122.469,122.476,122.462,122.476,122.552,122.553,122.532,122.538
2017/01/20 07:04:00,122.476,122.476,122.476,122.476,122.538,122.538,122.538,122.538
2017/01/20 07:05:00,122.476,122.476,122.445,122.451,122.538,122.538,122.518,122.523
2017/01/20 07:06:00,122.451,122.473,122.433,122.462,122.523,122.539,122.496,122.508
2017/01/20 07:07:00,122.462,122.47,122.458,122.469,122.508,122.53,122.502,122.52
2017/01/20 07:08:00,122.469,122.469,122.451,122.451,122.52,122.53,122.512,122.515
2017/01/20 07:09:00,122.451,122.501,122.451,122.468,122.515,122.534,122.499,122.526
2017/01/20 07:10:00,122.468,122.517,122.467,122.513,122.526,122.527,122.5,122.519
2017/01/20 07:11:00,122.513,122.524,122.508,122.524,122.519,122.53,122.514,122.53
2017/01/20 07:12:00,122.524,122.53,122.508,122.509,122.53,122.536,122.514,122.515
2017/01/20 07:13:00,122.509,122.512,122.507,122.507,122.515,122.518,122.513,122.513
2017/01/20 07:14:00,122.507,122.508,122.501,122.503,122.513,122.514,122.507,122.509
2017/01/20 07:15:00,122.503,122.51,122.503,122.51,122.509,122.516,122.509,122.516
2017/01/20 07:16:00,122.51,122.519,122.51,122.519,122.516,122.525,122.516,122.525
2017/01/20 07:17:00,122.519,122.542,122.518,122.54,122.525,122.548,122.524,122.546
2017/01/20 07:18:00,122.54,122.57,122.533,122.552,122.546,122.576,122.539,122.558
2017/01/20 07:19:00,122.552,122.561,122.525,122.531,122.558,122.567,122.531,122.537
2017/01/20 07:20:00,122.531,122.551,122.48,122.533,122.537,122.557,122.486,122.539
2017/01/20 07:21:00,122.533,122.539,122.526,122.53,122.539,122.545,122.532,122.536
2017/01/20 07:22:00,122.53,122.563,122.516,122.517,122.536,122.569,122.522,122.523
2017/01/20 07:23:00,122.517,122.545,122.51,122.525,122.523,122.551,122.516,122.531
2017/01/20 07:24:00,122.525,122.547,122.519,122.545,122.531,122.553,122.525,122.551
2017/01/20 07:25:00,122.545,122.58,122.545,122.58,122.551,122.586,122.551,122.586
2017/01/20 07:26:00,122.58,122.622,122.565,122.596,122.586,122.638,122.575,122.602
2017/01/20 07:27:00,122.596,122.608,122.591,122.598,122.602,122.614,122.597,122.604
2017/01/20 07:28:00,122.598,122.617,122.568,122.569,122.604,122.623,122.574,122.575
2017/01/20 07:29:00,122.569,122.602,122.568,122.602,122.575,122.608,122.574,122.608
2017/01/20 07:30:00,122.602,122.623,122.599,122.604,122.608,122.629,122.605,122.61
2017/01/20 07:31:00,122.604,122.615,122.592,122.592,122.61,122.621,122.598,122.598
2017/01/20 07:32:00,122.592,122.611,122.584,122.61,122.598,122.617,122.59,122.616
2017/01/20 07:33:00,122.61,122.61,122.595,122.599,122.616,122.616,122.601,122.605
2017/01/20 07:34:00,122.599,122.622,122.597,122.598,122.605,122.628,122.603,122.604
2017/01/20 07:35:00,122.598,122.605,122.598,122.601,122.604,122.611,122.604,122.607
2017/01/20 07:36:00,122.601,122.605,122.578,122.598,122.607,122.611,122.584,122.604
2017/01/20 07:37:00,122.598,122.654,122.597,122.64,122.604,122.66,122.603,122.646
2017/01/20 07:38:00,122.64,122.661,122.62,122.62,122.646,122.667,122.626,122.626
2017/01/20 07:39:00,122.62,122.647,122.62,122.638,122.626,122.653,122.626,122.644
2017/01/20 07:40:00,122.638,122.659,122.634,122.646,122.644,122.665,122.64,122.652
2017/01/20 07:41:00,122.646,122.649,122.601,122.629,122.652,122.655,122.607,122.635
2017/01/20 07:42:00,122.629,122.63,122.598,122.609,122.635,122.636,122.604,122.615
2017/01/20 07:43:00,122.609,122.631,122.587,122.62,122.615,122.668,122.603,122.626
2017/01/20 07:44:00,122.62,122.627,122.594,122.619,122.626,122.664,122.624,122.625
2017/01/20 07:45:00,122.619,122.639,122.617,122.622,122.625,122.645,122.623,122.628
2017/01/20 07:46:00,122.622,122.648,122.622,122.637,122.628,122.654,122.628,122.643
2017/01/20 07:47:00,122.637,122.638,122.621,122.632,122.643,122.644,122.627,122.638
2017/01/20 07:48:00,122.632,122.633,122.616,122.624,122.638,122.639,122.622,122.63
2017/01/20 07:49:00,122.624,122.664,122.62,122.65,122.63,122.67,122.626,122.656
2017/01/20 07:50:00,122.65,122.69,122.643,122.664,122.656,122.696,122.649,122.67
2017/01/20 07:51:00,122.664,122.671,122.663,122.667,122.67,122.677,122.669,122.673
2017/01/20 07:52:00,122.667,122.684,122.664,122.669,122.673,122.69,122.67,122.675
2017/01/20 07:53:00,122.669,122.672,122.661,122.671,122.675,122.678,122.667,122.677
2017/01/20 07:54:00,122.671,122.674,122.664,122.671,122.677,122.68,122.67,122.677
2017/01/20 07:55:00,122.671,122.673,122.669,122.671,122.677,122.679,122.675,122.677
2017/01/20 07:56:00,122.671,122.678,122.671,122.675,122.677,122.684,122.677,122.681
2017/01/20 07:57:00,122.675,122.699,122.675,122.689,122.681,122.705,122.681,122.695
2017/01/20 07:58:00,122.689,122.711,122.678,122.7,122.695,122.717,122.684,122.706
2017/01/20 07:59:00,122.7,122.702,122.624,122.626,122.706,122.708,122.63,122.632
2017/01/20 08:00:00,122.626,122.676,122.622,122.667,122.632,122.682,122.628,122.673
2017/01/20 08:01:00,122.667,122.672,122.656,122.656,122.673,122.678,122.662,122.662
2017/01/20 08:02:00,122.656,122.665,122.647,122.651,122.662,122.671,122.653,122.657
2017/01/20 08:03:00,122.651,122.653,122.634,122.647,122.657,122.659,122.64,122.653
2017/01/20 08:04:00,122.647,122.648,122.621,122.628,122.653,122.654,122.627,122.634
2017/01/20 08:05:00,122.628,122.63,122.612,122.622,122.634,122.636,122.618,122.628
2017/01/20 08:06:00,122.622,122.631,122.615,122.624,122.628,122.637,122.621,122.63
2017/01/20 08:07:00,122.624,122.624,122.604,122.612,122.63,122.63,122.61,122.618
2017/01/20 08:08:00,122.612,122.622,122.606,122.613,122.618,122.628,122.612,122.619
2017/01/20 08:09:00,122.613,122.641,122.613,122.629,122.619,122.647,122.619,122.635
2017/01/20 08:10:00,122.629,122.636,122.608,122.614,122.635,122.642,122.614,122.62
2017/01/20 08:11:00,122.614,122.618,122.585,122.6,122.62,122.624,122.591,122.606
2017/01/20 08:12:00,122.6,122.609,122.58,122.587,122.606,122.615,122.586,122.593
2017/01/20 08:13:00,122.587,122.616,122.587,122.596,122.593,122.622,122.593,122.602
2017/01/20 08:14:00,122.596,122.611,122.595,122.605,122.602,122.617,122.601,122.611
2017/01/20 08:15:00,122.605,122.611,122.591,122.591,122.611,122.617,122.597,122.597
2017/01/20 08:16:00,122.591,122.594,122.572,122.573,122.597,122.6,122.578,122.579
