日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/19 07:00:00,1.06266,1.06295,1.06246,1.0627,1.06324,1.06341,1.06291,1.06341
2017/01/19 07:01:00,1.0627,1.06291,1.0627,1.06291,1.06341,1.06343,1.0633,1.06334
2017/01/19 07:02:00,1.06291,1.06294,1.06285,1.06287,1.06334,1.06336,1.06325,1.06327
2017/01/19 07:03:00,1.06287,1.06302,1.06283,1.06287,1.06327,1.06367,1.06327,1.06352
2017/01/19 07:04:00,1.06287,1.06295,1.06287,1.06294,1.06352,1.06358,1.06348,1.06349
2017/01/19 07:05:00,1.06294,1.06294,1.06279,1.06285,1.06349,1.06349,1.06321,1.06325
2017/01/19 07:06:00,1.06285,1.0629,1.06265,1.06287,1.06325,1.0633,1.06305,1.06327
2017/01/19 07:07:00,1.06287,1.06289,1.06286,1.06288,1.06327,1.06329,1.06326,1.06328
2017/01/19 07:08:00,1.06288,1.0629,1.06273,1.06286,1.06328,1.0633,1.063,1.06302
2017/01/19 07:09:00,1.06286,1.06288,1.06273,1.06276,1.06302,1.06316,1.06302,1.06316
2017/01/19 07:10:00,1.06276,1.06295,1.06276,1.06295,1.06316,1.06316,1.06296,1.063
2017/01/19 07:11:00,1.06295,1.06315,1.06295,1.06315,1.063,1.0632,1.063,1.0632
2017/01/19 07:12:00,1.06315,1.06316,1.06313,1.06316,1.0632,1.06321,1.06318,1.06321
2017/01/19 07:13:00,1.06316,1.06317,1.06313,1.06313,1.06321,1.06322,1.06318,1.06318
2017/01/19 07:14:00,1.06313,1.06316,1.06309,1.0631,1.06318,1.06321,1.06314,1.06315
2017/01/19 07:15:00,1.0631,1.06311,1.06295,1.06306,1.06315,1.06326,1.06311,1.06311
2017/01/19 07:16:00,1.06306,1.06309,1.06293,1.06298,1.06311,1.06329,1.06311,1.06329
2017/01/19 07:17:00,1.06298,1.06314,1.06294,1.06313,1.06329,1.06332,1.06315,1.06318
2017/01/19 07:18:00,1.06313,1.06315,1.06311,1.06313,1.06318,1.0632,1.06316,1.06318
2017/01/19 07:19:00,1.06313,1.06316,1.06313,1.06316,1.06318,1.06321,1.06318,1.06321
2017/01/19 07:20:00,1.06316,1.06326,1.06303,1.06306,1.06321,1.06345,1.0632,1.06337
2017/01/19 07:21:00,1.06306,1.06324,1.06304,1.06323,1.06337,1.06342,1.06322,1.06328
2017/01/19 07:22:00,1.06323,1.06324,1.0631,1.0631,1.06328,1.06342,1.06327,1.06341
2017/01/19 07:23:00,1.0631,1.06326,1.0631,1.06324,1.06341,1.06344,1.06328,1.06329
2017/01/19 07:24:00,1.06324,1.06326,1.06311,1.06323,1.06329,1.06342,1.06326,1.06328
2017/01/19 07:25:00,1.06323,1.06328,1.06304,1.06319,1.06328,1.06346,1.06322,1.06324
2017/01/19 07:26:00,1.06319,1.06323,1.06304,1.06304,1.06324,1.06342,1.06321,1.06335
2017/01/19 07:27:00,1.06304,1.06318,1.06297,1.06302,1.06335,1.06352,1.06322,1.06341
2017/01/19 07:28:00,1.06302,1.06316,1.06296,1.063,1.06341,1.06341,1.06316,1.06332
2017/01/19 07:29:00,1.063,1.06316,1.06296,1.06309,1.06332,1.06336,1.06314,1.06314
2017/01/19 07:30:00,1.06309,1.06314,1.06308,1.06309,1.06314,1.06319,1.06313,1.06314
2017/01/19 07:31:00,1.06309,1.06316,1.06309,1.06309,1.06314,1.06321,1.06314,1.06314
2017/01/19 07:32:00,1.06309,1.0632,1.06296,1.06319,1.06314,1.06338,1.06314,1.06324
2017/01/19 07:33:00,1.06319,1.0632,1.06297,1.06313,1.06324,1.06331,1.0631,1.06318
2017/01/19 07:34:00,1.06313,1.06339,1.06298,1.06336,1.06318,1.0635,1.06317,1.06341
2017/01/19 07:35:00,1.06336,1.06349,1.06305,1.06326,1.06341,1.06366,1.06316,1.06357
2017/01/19 07:36:00,1.06326,1.06338,1.06307,1.06324,1.06357,1.06357,1.06326,1.06355
2017/01/19 07:37:00,1.06324,1.06342,1.06318,1.0632,1.06355,1.06361,1.06338,1.06351
2017/01/19 07:38:00,1.0632,1.06345,1.06312,1.0632,1.06351,1.06363,1.06328,1.06351
